timesteps,reward,best_reward
timesteps,reward,best_reward
timesteps,reward,best_reward
1000 , 230.775 , 610.0
2000 , 462.25 , 707.0
3000 , 510.6 , 730.0
4000 , 454.45 , 770.0
5000 , 519.35 , 939.0
6000 , 585.85 , 1207.0
7000 , 555.6 , 1012.0
8000 , 585.05 , 1897.0
9000 , 671.7 , 1302.0
10000 , 683.05 , 1638.0
11000 , 700.65 , 1896.0
12000 , 798.6 , 1341.0
13000 , 743.95 , 1323.0
14000 , 780.9 , 1532.0
15000 , 622.7 , 1907.0
16000 , 694.1 , 1567.0
17000 , 625.75 , 1360.0
18000 , 774.65 , 1642.0
19000 , 750.85 , 1545.0
20000 , 814.45 , 1584.0
21000 , 756.35 , 1883.0
timesteps,reward,best_reward
22000 , 763.1 , 1879.0
23000 , 914.85 , 3035.0
timesteps,reward,best_reward
24000 , 738.25 , 1664.0
25000 , 635.55 , 1338.0
26000 , 786.8 , 1421.0
27000 , 893.1 , 3030.0
28000 , 832.3 , 2363.0
29000 , 850.9 , 1838.0
30000 , 825.35 , 1422.0
31000 , 775.25 , 1574.0
32000 , 553.3 , 1344.0
33000 , 685.15 , 1696.0
34000 , 610.3 , 1417.0
35000 , 528.2 , 1044.0
36000 , 969.2 , 1683.0
37000 , 928.9 , 1855.0
38000 , 773.1 , 1851.0
39000 , 761.75 , 1677.0
40000 , 753.0 , 1687.0
41000 , 807.25 , 1874.0
42000 , 698.2 , 1671.0
43000 , 589.0 , 1925.0
44000 , 819.5 , 1545.0
45000 , 756.4 , 1915.0
46000 , 755.05 , 2334.0
47000 , 629.1 , 1320.0
48000 , 913.45 , 3033.0
49000 , 609.7 , 1422.0
50000 , 539.4 , 1434.0
51000 , 695.85 , 1346.0
52000 , 858.9 , 2329.0
53000 , 706.9 , 1558.0
54000 , 976.65 , 3036.0
55000 , 628.6 , 1584.0
56000 , 543.35 , 1698.0
57000 , 635.15 , 1417.0
58000 , 723.7 , 1566.0
59000 , 635.65 , 1339.0
60000 , 692.4 , 1573.0
61000 , 543.55 , 1325.0
62000 , 772.5 , 1345.0
63000 , 630.25 , 1351.0
64000 , 650.55 , 1429.0
65000 , 724.3 , 1410.0
66000 , 875.8 , 1700.0
67000 , 806.05 , 1436.0
68000 , 863.25 , 2318.0
69000 , 609.25 , 1692.0
70000 , 692.7 , 1580.0
71000 , 530.9 , 2352.0
72000 , 763.2 , 1575.0
73000 , 849.85 , 1888.0
74000 , 552.3 , 1047.0
75000 , 668.75 , 1428.0
76000 , 740.4 , 1349.0
77000 , 754.3 , 1571.0
78000 , 770.25 , 2335.0
79000 , 710.4 , 1687.0
80000 , 829.55 , 1860.0
81000 , 766.25 , 1413.0
82000 , 668.7 , 1671.0
83000 , 858.35 , 3038.0
84000 , 684.8 , 1348.0
85000 , 760.85 , 1434.0
86000 , 779.55 , 1693.0
87000 , 721.5 , 1694.0
88000 , 805.45 , 2353.0
89000 , 815.6 , 3029.0
90000 , 715.0 , 1915.0
91000 , 606.65 , 1689.0
92000 , 817.15 , 2355.0
93000 , 771.2 , 1576.0
94000 , 765.1 , 1347.0
95000 , 859.4 , 1702.0
96000 , 778.25 , 1840.0
97000 , 686.8 , 1581.0
98000 , 654.85 , 1324.0
99000 , 815.75 , 2646.0
100000 , 794.3 , 1695.0
101000 , 468.4 , 1046.0
102000 , 709.0 , 1578.0
103000 , 602.15 , 1323.0
104000 , 856.0 , 1909.0
105000 , 740.8 , 1428.0
106000 , 815.45 , 1710.0
107000 , 838.95 , 1854.0
108000 , 775.7 , 1424.0
109000 , 648.7 , 1429.0
110000 , 938.6 , 1864.0
111000 , 838.9 , 1695.0
112000 , 825.75 , 1434.0
113000 , 788.8 , 1853.0
114000 , 532.0 , 1348.0
115000 , 760.75 , 1918.0
116000 , 841.9 , 1433.0
117000 , 547.15 , 1416.0
118000 , 812.7 , 1703.0
119000 , 787.5 , 1928.0
120000 , 829.8 , 1334.0
121000 , 729.95 , 1355.0
122000 , 851.5 , 1863.0
123000 , 720.75 , 1347.0
124000 , 654.55 , 1340.0
125000 , 719.5 , 1331.0
126000 , 737.35 , 1408.0
127000 , 831.15 , 1576.0
128000 , 746.1 , 1583.0
129000 , 626.75 , 1684.0
130000 , 862.05 , 3041.0
131000 , 919.9 , 2636.0
132000 , 967.35 , 1846.0
133000 , 751.05 , 1698.0
134000 , 686.3 , 1682.0
135000 , 771.85 , 1682.0
136000 , 903.95 , 1922.0
137000 , 929.3 , 1902.0
138000 , 777.3 , 1424.0
139000 , 948.1 , 2340.0
140000 , 734.35 , 1577.0
141000 , 893.6 , 2344.0
142000 , 795.55 , 1433.0
143000 , 794.0 , 2361.0
144000 , 748.65 , 1891.0
145000 , 927.55 , 1429.0
146000 , 984.85 , 1691.0
147000 , 777.25 , 1351.0
148000 , 936.0 , 1580.0
149000 , 861.5 , 1691.0
150000 , 882.55 , 1694.0
151000 , 664.65 , 1695.0
152000 , 943.2 , 3036.0
153000 , 931.05 , 1576.0
154000 , 947.5 , 1688.0
155000 , 829.65 , 1924.0
156000 , 774.4 , 1356.0
157000 , 784.2 , 1907.0
158000 , 1046.35 , 1572.0
159000 , 745.5 , 1420.0
160000 , 842.45 , 1855.0
161000 , 842.25 , 1694.0
162000 , 946.6 , 1690.0
163000 , 938.15 , 1923.0
164000 , 863.05 , 1916.0
165000 , 771.05 , 1677.0
166000 , 812.35 , 1347.0
167000 , 963.65 , 2346.0
168000 , 621.35 , 1432.0
169000 , 829.85 , 1929.0
170000 , 825.15 , 1699.0
171000 , 681.55 , 2332.0
172000 , 860.5 , 1582.0
173000 , 726.2 , 1691.0
174000 , 789.8 , 1435.0
175000 , 951.4 , 2357.0
176000 , 823.3 , 1702.0
177000 , 1120.1 , 1919.0
178000 , 937.2 , 1430.0
179000 , 941.3 , 1703.0
180000 , 909.75 , 1861.0
181000 , 784.15 , 1404.0
182000 , 643.05 , 1932.0
183000 , 730.15 , 2647.0
184000 , 761.2 , 1347.0
185000 , 887.4 , 1924.0
186000 , 879.1 , 1863.0
187000 , 888.5 , 1675.0
188000 , 659.8 , 1359.0
189000 , 816.8 , 1583.0
190000 , 781.3 , 1588.0
191000 , 983.05 , 1832.0
192000 , 988.7 , 2354.0
193000 , 792.6 , 1677.0
194000 , 687.5 , 1351.0
195000 , 817.8 , 2344.0
196000 , 765.7 , 1585.0
197000 , 705.7 , 1353.0
198000 , 879.65 , 2350.0
199000 , 787.9 , 1583.0
200000 , 863.8 , 1686.0
201000 , 751.7 , 1435.0
202000 , 973.3 , 3045.0
203000 , 889.25 , 1702.0
204000 , 891.5 , 2356.0
205000 , 847.2 , 1570.0
206000 , 894.2 , 2597.0
207000 , 766.35 , 1848.0
208000 , 844.85 , 1410.0
209000 , 977.25 , 1705.0
210000 , 979.6 , 1702.0
211000 , 753.65 , 1422.0
212000 , 809.05 , 1690.0
213000 , 1082.45 , 1852.0
214000 , 938.4 , 1699.0
215000 , 858.15 , 1857.0
216000 , 769.35 , 1705.0
217000 , 871.9 , 1921.0
218000 , 821.0 , 1432.0
219000 , 782.55 , 1438.0
220000 , 891.75 , 1582.0
221000 , 843.8 , 1558.0
222000 , 972.25 , 1583.0
223000 , 899.85 , 2352.0
224000 , 855.2 , 1690.0
225000 , 792.15 , 1580.0
226000 , 821.4 , 1424.0
227000 , 1029.4 , 2336.0
228000 , 565.6 , 1576.0
229000 , 981.5 , 1692.0
230000 , 817.5 , 1694.0
231000 , 732.8 , 1588.0
232000 , 1095.65 , 2346.0
233000 , 871.1 , 1861.0
234000 , 911.8 , 1581.0
235000 , 854.15 , 1693.0
236000 , 1068.3 , 2343.0
237000 , 1009.5 , 1583.0
238000 , 763.2 , 1569.0
239000 , 900.9 , 1921.0
240000 , 902.05 , 1920.0
241000 , 760.1 , 2347.0
242000 , 867.1 , 1344.0
243000 , 1125.35 , 1927.0
244000 , 1006.0 , 2364.0
245000 , 860.8 , 1583.0
246000 , 744.7 , 3045.0
247000 , 822.65 , 1345.0
248000 , 947.55 , 1838.0
249000 , 844.3 , 1860.0
250000 , 826.1 , 1914.0
251000 , 749.8 , 1703.0
252000 , 836.25 , 1847.0
253000 , 751.4 , 1434.0
254000 , 889.85 , 1585.0
255000 , 988.2 , 1583.0
256000 , 992.7 , 1707.0
257000 , 948.15 , 1586.0
258000 , 969.45 , 1868.0
259000 , 856.8 , 2634.0
260000 , 1010.5 , 2652.0
261000 , 836.8 , 1581.0
262000 , 901.7 , 1862.0
263000 , 917.75 , 1580.0
264000 , 993.65 , 2343.0
265000 , 871.0 , 1859.0
266000 , 786.45 , 1583.0
267000 , 920.0 , 2351.0
268000 , 987.8 , 1709.0
269000 , 1084.85 , 1932.0
270000 , 1042.55 , 3039.0
271000 , 854.05 , 2361.0
272000 , 1111.85 , 2350.0
273000 , 1112.0 , 2363.0
274000 , 1052.95 , 1699.0
275000 , 889.75 , 1867.0
276000 , 898.55 , 1706.0
277000 , 1027.55 , 2355.0
278000 , 869.1 , 1428.0
279000 , 1157.0 , 3036.0
280000 , 984.45 , 1861.0
281000 , 805.35 , 1928.0
282000 , 936.9 , 2368.0
283000 , 1073.05 , 3035.0
284000 , 973.3 , 2354.0
285000 , 931.25 , 3035.0
286000 , 1072.7 , 1930.0
287000 , 929.1 , 1858.0
288000 , 1075.2 , 1857.0
289000 , 1143.0 , 2367.0
290000 , 1086.2 , 1699.0
291000 , 1045.55 , 1694.0
292000 , 920.55 , 1711.0
293000 , 1315.5 , 2361.0
294000 , 1256.2 , 2630.0
295000 , 1234.0 , 2355.0
296000 , 1100.6 , 2350.0
297000 , 1280.7 , 1929.0
298000 , 1224.0 , 1909.0
299000 , 1014.7 , 1703.0
