timesteps,reward,best_reward
1000 , 320.65 , 512.0
2000 , 389.3 , 957.0
3000 , 446.75 , 692.0
4000 , 641.95 , 1518.0
5000 , 473.15 , 729.0
6000 , 537.35 , 1032.0
7000 , 632.95 , 1049.0
8000 , 585.6 , 1400.0
9000 , 597.55 , 1757.0
10000 , 567.75 , 1470.0
11000 , 618.95 , 1303.0
12000 , 641.4 , 1311.0
13000 , 475.55 , 979.0
14000 , 539.05 , 931.0
15000 , 634.2 , 1279.0
16000 , 607.2 , 975.0
17000 , 683.5 , 1758.0
18000 , 591.35 , 1239.0
19000 , 751.95 , 1372.0
20000 , 729.65 , 1341.0
21000 , 616.4 , 1292.0
22000 , 809.75 , 1534.0
23000 , 792.6 , 1867.0
24000 , 752.0 , 1686.0
25000 , 705.5 , 1383.0
26000 , 744.85 , 1336.0
27000 , 855.85 , 1574.0
28000 , 641.15 , 1843.0
29000 , 729.1 , 2328.0
30000 , 786.9 , 1552.0
31000 , 798.3 , 1847.0
32000 , 839.9 , 1418.0
33000 , 653.45 , 1426.0
34000 , 714.2 , 1575.0
35000 , 782.6 , 1691.0
36000 , 588.1 , 1347.0
37000 , 714.8 , 1692.0
38000 , 654.9 , 1828.0
39000 , 723.6 , 1835.0
40000 , 717.5 , 1428.0
41000 , 793.2 , 1554.0
42000 , 722.65 , 2333.0
43000 , 817.0 , 1689.0
44000 , 706.5 , 1695.0
45000 , 826.1 , 2349.0
46000 , 765.25 , 1859.0
47000 , 798.6 , 3010.0
48000 , 807.8 , 1415.0
49000 , 870.35 , 1567.0
50000 , 849.05 , 1694.0
51000 , 543.0 , 1658.0
52000 , 702.1 , 1681.0
53000 , 752.3 , 1429.0
54000 , 814.3 , 1327.0
55000 , 932.55 , 1693.0
56000 , 632.5 , 1909.0
57000 , 827.25 , 1856.0
58000 , 706.5 , 1390.0
59000 , 757.2 , 1924.0
60000 , 660.65 , 2625.0
61000 , 677.85 , 1559.0
62000 , 383.3 , 1041.0
63000 , 655.4 , 1586.0
64000 , 600.25 , 1413.0
65000 , 677.8 , 1329.0
66000 , 909.85 , 1851.0
67000 , 611.1 , 2604.0
68000 , 770.8 , 1344.0
69000 , 827.55 , 1921.0
70000 , 559.75 , 1045.0
71000 , 701.95 , 1576.0
72000 , 716.75 , 1435.0
73000 , 724.55 , 2998.0
74000 , 694.75 , 1685.0
75000 , 660.85 , 1342.0
76000 , 734.15 , 1686.0
77000 , 847.5 , 1683.0
78000 , 676.1 , 1346.0
79000 , 619.5 , 1430.0
80000 , 736.7 , 1568.0
81000 , 732.15 , 1575.0
82000 , 933.65 , 1729.0
83000 , 772.65 , 1657.0
84000 , 633.7 , 1324.0
85000 , 740.75 , 1585.0
86000 , 760.1 , 1437.0
87000 , 587.6 , 1349.0
88000 , 787.2 , 1431.0
89000 , 881.05 , 1678.0
90000 , 787.75 , 1694.0
91000 , 574.75 , 1435.0
92000 , 780.35 , 1693.0
93000 , 857.8 , 1841.0
94000 , 897.05 , 1920.0
95000 , 691.7 , 1432.0
96000 , 657.8 , 1332.0
97000 , 567.15 , 1582.0
98000 , 874.4 , 1692.0
99000 , 1055.65 , 2637.0
100000 , 609.85 , 1687.0
101000 , 794.4 , 1682.0
102000 , 801.4 , 1688.0
103000 , 743.4 , 1337.0
104000 , 915.8 , 1631.0
105000 , 748.75 , 1850.0
106000 , 799.8 , 1581.0
107000 , 801.25 , 1348.0
108000 , 608.35 , 1572.0
109000 , 827.75 , 1567.0
110000 , 636.85 , 1328.0
111000 , 864.95 , 2311.0
112000 , 773.45 , 1433.0
113000 , 784.15 , 1344.0
114000 , 818.2 , 1348.0
115000 , 815.05 , 1415.0
116000 , 796.75 , 1575.0
117000 , 834.45 , 1569.0
118000 , 752.15 , 1343.0
119000 , 957.6 , 3039.0
120000 , 852.25 , 1681.0
121000 , 830.6 , 1695.0
122000 , 835.5 , 1412.0
123000 , 1022.9 , 1911.0
124000 , 744.05 , 1421.0
125000 , 870.1 , 3042.0
126000 , 698.8 , 1343.0
127000 , 744.6 , 2354.0
128000 , 1058.15 , 3027.0
129000 , 593.7 , 2350.0
130000 , 730.8 , 1347.0
131000 , 865.1 , 1580.0
132000 , 671.55 , 1911.0
133000 , 783.8 , 2340.0
134000 , 657.3 , 1837.0
135000 , 709.6 , 1567.0
136000 , 775.95 , 1434.0
137000 , 883.45 , 1706.0
138000 , 875.6 , 1834.0
139000 , 920.0 , 3027.0
140000 , 850.05 , 1348.0
141000 , 887.1 , 1901.0
142000 , 768.8 , 1339.0
143000 , 745.65 , 1682.0
144000 , 959.45 , 1846.0
145000 , 945.35 , 1905.0
146000 , 715.2 , 1841.0
147000 , 737.35 , 1334.0
148000 , 761.8 , 1691.0
149000 , 893.1 , 1852.0
150000 , 798.95 , 1858.0
151000 , 714.65 , 1561.0
152000 , 696.45 , 1582.0
153000 , 755.2 , 1582.0
154000 , 807.05 , 1342.0
155000 , 732.25 , 1918.0
156000 , 823.05 , 1576.0
157000 , 825.35 , 1425.0
158000 , 730.8 , 1349.0
159000 , 835.15 , 1346.0
160000 , 668.75 , 1431.0
161000 , 772.15 , 1432.0
162000 , 829.4 , 1695.0
163000 , 818.05 , 1574.0
164000 , 761.5 , 1691.0
165000 , 751.6 , 1671.0
166000 , 1020.0 , 2354.0
167000 , 740.5 , 1571.0
168000 , 984.8 , 1685.0
169000 , 702.4 , 1073.0
170000 , 809.7 , 1342.0
171000 , 870.25 , 1841.0
172000 , 943.8 , 1701.0
173000 , 733.0 , 1341.0
174000 , 951.4 , 1682.0
175000 , 723.55 , 1584.0
176000 , 989.95 , 1929.0
177000 , 779.45 , 1569.0
178000 , 770.8 , 1693.0
179000 , 685.25 , 1683.0
180000 , 867.0 , 1578.0
181000 , 732.1 , 1588.0
182000 , 904.4 , 1697.0
183000 , 785.1 , 1434.0
184000 , 894.0 , 1847.0
185000 , 858.25 , 1703.0
186000 , 844.05 , 1684.0
187000 , 872.15 , 1431.0
188000 , 892.9 , 1699.0
189000 , 904.4 , 1860.0
190000 , 766.5 , 1691.0
191000 , 849.5 , 1341.0
192000 , 709.45 , 1692.0
193000 , 900.05 , 1704.0
194000 , 758.95 , 1435.0
195000 , 862.35 , 1570.0
196000 , 918.2 , 1701.0
197000 , 769.15 , 1342.0
198000 , 935.85 , 1670.0
199000 , 731.05 , 1570.0
200000 , 767.4 , 1580.0
201000 , 891.5 , 1692.0
202000 , 872.5 , 1697.0
203000 , 880.55 , 1563.0
204000 , 830.55 , 1430.0
205000 , 866.8 , 1585.0
206000 , 804.2 , 1685.0
207000 , 838.05 , 1354.0
208000 , 954.75 , 1584.0
209000 , 1027.3 , 1918.0
210000 , 1080.4 , 1921.0
211000 , 924.0 , 1918.0
212000 , 1012.3 , 1701.0
213000 , 852.6 , 1581.0
214000 , 860.95 , 1698.0
215000 , 951.5 , 1697.0
216000 , 851.25 , 1703.0
217000 , 982.7 , 1919.0
218000 , 1002.1 , 1848.0
219000 , 1009.95 , 1708.0
220000 , 810.25 , 1924.0
221000 , 1274.85 , 2360.0
222000 , 1048.4 , 1899.0
223000 , 1095.65 , 1919.0
224000 , 1031.7 , 2632.0
225000 , 939.5 , 1702.0
226000 , 924.0 , 1581.0
227000 , 948.15 , 1920.0
228000 , 977.25 , 2360.0
229000 , 1084.55 , 1586.0
230000 , 904.2 , 1704.0
231000 , 1163.75 , 1706.0
232000 , 1143.45 , 2354.0
233000 , 911.55 , 1917.0
234000 , 905.35 , 1862.0
235000 , 1143.85 , 2348.0
236000 , 1076.0 , 1703.0
237000 , 942.4 , 1697.0
238000 , 1032.4 , 2361.0
239000 , 936.65 , 1701.0
240000 , 918.3 , 1701.0
241000 , 1075.0 , 1702.0
242000 , 885.9 , 2346.0
243000 , 1180.35 , 1705.0
244000 , 1089.25 , 1574.0
245000 , 958.55 , 1699.0
246000 , 980.8 , 1925.0
247000 , 890.45 , 1709.0
248000 , 1064.0 , 1704.0
249000 , 848.95 , 1695.0
250000 , 949.65 , 1704.0
251000 , 1037.45 , 1703.0
252000 , 1015.75 , 1925.0
253000 , 967.05 , 2355.0
254000 , 898.75 , 1706.0
255000 , 1168.15 , 2357.0
256000 , 1082.1 , 1699.0
257000 , 1014.4 , 1582.0
258000 , 886.2 , 2351.0
